Price,Close,High,Low,Open,Volume
Ticker,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS
Date,,,,,
2014-01-01,89.24957275390625,89.89120960842271,88.91117137653679,89.63631718518563,2592560
2014-01-02,88.6958236694336,91.41180583550751,87.16642901276217,89.44733043324119,13790330
2014-01-03,87.37301635742188,88.7485908817573,86.66545330027608,88.3442700928072,7380140
2014-01-06,90.91081237792969,91.56124075223816,87.58834540703609,87.7817176359759,11094920
2014-01-07,90.31752014160156,91.95678514763941,89.12653325838482,91.01189925217714,8881400
2014-01-08,90.20764923095703,90.8580843643761,89.47811763385282,90.2911514917292,4745410
2014-01-09,90.1461181640625,90.70865191969382,88.58157073709215,90.44496799382802,5221660
2014-01-10,89.9439697265625,90.88445656753404,89.23200763525853,90.53287126028827,4793600
2014-01-13,89.59237670898438,90.64273344895562,88.77494379000744,89.93956289497905,6294510
2014-01-14,88.76175689697266,90.08458899610723,88.08056170343819,89.21442066238119,4514970
2014-01-15,87.04777526855469,89.60994374199649,86.59511153422434,88.621114024219,7431180
2014-01-16,89.9571533203125,90.18128568387085,86.68302898734355,87.62790821093506,7167370
2014-01-17,87.91355895996094,90.05822308408123,87.19281216994315,89.9615369666213,4442060
2014-01-20,86.75333404541016,88.79691970921314,86.26991015407256,87.80808988328857,4632080
2014-01-21,87.08293914794922,88.05858505845002,86.4764547425214,87.06097051778356,3877800
2014-01-22,87.41693878173828,87.89597020995927,86.75331991485767,87.10490513688357,3302930
2014-01-23,87.39057922363281,88.5420143949997,87.02581010848989,87.40815546870662,4586290
2014-01-24,85.26348876953125,87.4389195317252,84.8547757015845,86.58192840434904,6435990
2014-01-27,80.3984603881836,84.38014752664824,79.8666934221134,84.38014752664824,6295430
2014-01-28,81.7959976196289,83.19354720199775,79.80955328101679,80.446797800888,13972210
2014-01-29,82.01134490966797,82.99138321501133,81.08404204674973,82.38050641850612,5357420
2014-01-30,78.77237701416016,81.18951638204756,77.40998668806947,81.15435718653022,11665950
2014-01-31,80.63137817382812,80.96538719121618,78.94816934409288,79.2821716555498,7177520
2014-02-03,74.94011688232422,80.41603286051257,74.47426924600192,79.88425921347046,9276840
2014-02-04,74.1226806640625,76.03002179801112,72.62405261341814,73.74472768630913,8174160
2014-02-05,74.43031311035156,75.28290515468512,73.23931967909645,74.50502388560656,6375620
2014-02-06,74.03917694091797,75.69601798902292,72.7471050029541,75.08514121563745,8701340
2014-02-07,76.36402893066406,76.72000659499224,74.52700607319174,75.2389614018481,10627740
2014-02-10,74.70719909667969,77.61216183371876,73.88976612163889,76.47830275827945,7592800
2014-02-11,75.55537414550781,76.15746609317301,74.7643090833446,75.01920819814887,5021260
2014-02-12,74.13145446777344,76.05198588392707,73.49421676171423,75.8146630205272,4871450
2014-02-13,71.64401245117188,74.71158015885726,71.03313568163964,74.71158015885726,5406540
2014-02-14,73.32722473144531,73.65683465974502,70.66836996864151,71.71432758107937,6479960
2014-02-17,74.39956665039062,75.4543158786337,71.97362867238104,73.39315378035602,4775170
2014-02-18,76.5661849975586,77.24298106009375,75.23456150167692,75.23456150167692,8108500
2014-02-19,76.5661849975586,76.5661849975586,76.5661849975586,76.5661849975586,0
2014-02-20,76.28491973876953,76.73319110204339,74.93132087946111,75.7663299840153,5642830
2014-02-21,77.8758316040039,78.22741684110511,76.38160272873708,76.46949736152972,6027990
2014-02-24,77.59455871582031,78.98331660601218,76.96170667948326,77.96372016837356,6570500
2014-02-25,75.37960052490234,78.61417312315184,75.0104322820342,77.59896883767901,8792630
2014-02-26,75.42793273925781,76.46070641711755,74.36439225144528,75.4982511283522,9460400
2014-02-28,76.99247741699219,77.30450436093633,75.03240100509802,75.58614321219427,7861200
2014-03-03,76.36402893066406,77.4627287370752,75.77512744385125,76.86503577415029,5002660
2014-03-04,78.2977523803711,78.4867255469722,76.13111936605297,76.29372480763365,7112430
2014-03-05,78.81632995605469,79.37007896610956,77.5242578738355,78.91301607825692,7324670
2014-03-06,79.8359146118164,80.67971515558318,78.2669682606426,78.84268581608264,8871320
2014-03-07,82.69693756103516,83.23310361170542,79.80955791019663,80.4248271293601,9481220
2014-03-10,85.46127319335938,86.28309854593874,81.9190591979548,82.2047251862253,9860380
2014-03-11,82.33216857910156,86.0457793569622,81.91905637143908,85.96227709720938,7460960
2014-03-12,83.13202667236328,84.88994642417,81.42684236721263,82.12122147388808,7010040
2014-03-13,81.61141967773438,84.34498531241937,81.11041283793949,83.21112631584538,7074890
2014-03-14,82.5694808959961,82.92105943054938,80.37208152538459,80.96538203782197,6366140
2014-03-18,83.33856964111328,84.45484555691655,82.69253369769918,82.90787454155013,6786760
2014-03-19,85.40853118896484,85.87437885928165,82.91228831182134,83.52316516918744,7637420
2014-03-20,83.38253021240234,85.66342536866595,82.87272518885369,85.34699928917466,5932150
2014-03-21,86.2655258178711,86.91155519496179,83.60227831117251,83.60227831117251,9555530
2014-03-24,86.0721435546875,87.80808786806159,85.54036990989596,87.10931641653549,5735930
2014-03-25,86.17761993408203,87.75535131125226,85.74253908472849,85.74253908472849,6176300
2014-03-26,87.6762466430664,88.24757189721507,86.58193919564164,86.72257599306414,7177010
2014-03-27,87.90916442871094,88.59915109501748,86.67422697467812,87.80808592871834,11328260
