Stock,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Position,PnL
RELIANCE.NS,2014-12-01,2014-12-29,205.77072143554688,191.9470977783203,SHORT,13.823623657226562
RELIANCE.NS,2015-01-06,2015-01-15,178.9152374267578,184.9390106201172,SHORT,-6.023773193359375
RELIANCE.NS,2015-02-10,2015-02-13,188.73727416992188,196.33387756347656,SHORT,-7.5966033935546875
RELIANCE.NS,2015-02-16,2015-03-04,193.18821716308594,189.98912048339844,SHORT,3.1990966796875
RELIANCE.NS,2015-03-10,2015-04-08,183.84767150878906,185.2920684814453,SHORT,-1.44439697265625
RELIANCE.NS,2015-04-24,2015-05-08,188.07391357421875,192.78369140625,SHORT,-4.70977783203125
RELIANCE.NS,2015-05-27,2015-06-04,191.8302459716797,197.76742553710938,SHORT,-5.9371795654296875
RELIANCE.NS,2015-06-08,2015-06-17,191.86280822753906,201.77606201171875,SHORT,-9.913253784179688
RELIANCE.NS,2015-07-23,2015-07-24,226.49969482421875,222.1118621826172,LONG,-4.3878326416015625
RELIANCE.NS,2015-11-26,2015-12-07,214.2245635986328,206.29393005371094,LONG,-7.930633544921875
RELIANCE.NS,2015-12-16,2016-01-05,212.05770874023438,217.7998504638672,LONG,5.7421417236328125
RELIANCE.NS,2016-01-06,2016-01-19,223.66114807128906,226.13134765625,LONG,2.4701995849609375
RELIANCE.NS,2016-02-23,2016-04-05,205.77389526367188,225.02899169921875,LONG,19.255096435546875
RELIANCE.NS,2016-04-13,2016-04-20,233.5967254638672,227.29690551757812,LONG,-6.2998199462890625
RELIANCE.NS,2016-05-27,2016-06-27,213.57972717285156,209.40545654296875,LONG,-4.1742706298828125
RELIANCE.NS,2016-07-04,2016-08-01,216.20924377441406,221.20529174804688,LONG,4.9960479736328125
RELIANCE.NS,2016-08-12,2016-08-17,226.9682159423828,222.03794860839844,LONG,-4.930267333984375
RELIANCE.NS,2016-08-29,2016-09-02,231.71224975585938,222.0489044189453,LONG,-9.663345336914062
RELIANCE.NS,2016-09-12,2016-10-03,229.31283569335938,238.9981231689453,LONG,9.685287475585938
RELIANCE.NS,2016-10-07,2016-10-10,243.00807189941406,240.23614501953125,LONG,-2.7719268798828125
RELIANCE.NS,2016-11-23,2017-01-16,221.09573364257812,235.831787109375,LONG,14.736053466796875
RELIANCE.NS,2017-02-14,2017-03-20,230.0359649658203,280.65350341796875,LONG,50.61753845214844
RELIANCE.NS,2017-04-05,2017-04-13,310.0598449707031,299.05987548828125,LONG,-10.999969482421875
RELIANCE.NS,2017-05-30,2017-06-02,297.8656921386719,290.28399658203125,LONG,-7.581695556640625
RELIANCE.NS,2017-06-08,2017-06-12,291.8069152832031,289.12255859375,LONG,-2.684356689453125
RELIANCE.NS,2017-06-14,2017-07-03,297.4603271484375,302.62060546875,LONG,5.1602783203125
RELIANCE.NS,2017-07-05,2017-08-07,316.1186828613281,356.9960021972656,LONG,40.8773193359375
RELIANCE.NS,2017-09-05,2017-09-22,360.5851135253906,361.0709533691406,LONG,0.48583984375
RELIANCE.NS,2017-10-10,2017-11-06,372.46759033203125,411.9141540527344,LONG,39.446563720703125
RELIANCE.NS,2017-11-23,2017-12-01,418.31927490234375,402.01934814453125,LONG,-16.2999267578125
RELIANCE.NS,2018-01-08,2018-01-18,410.1693115234375,406.260009765625,LONG,-3.9093017578125
RELIANCE.NS,2018-01-22,2018-02-02,429.1417236328125,399.4794616699219,LONG,-29.662261962890625
RELIANCE.NS,2018-02-19,2018-03-06,409.4846496582031,402.3507080078125,LONG,-7.133941650390625
RELIANCE.NS,2018-03-14,2018-03-15,410.3902282714844,402.7703552246094,LONG,-7.619873046875
RELIANCE.NS,2018-04-05,2018-05-16,401.1800537109375,422.361083984375,LONG,21.1810302734375
RELIANCE.NS,2018-06-05,2018-06-26,418.6063537597656,432.4325866699219,LONG,13.82623291015625
RELIANCE.NS,2018-07-10,2018-08-13,456.1122131347656,528.151123046875,LONG,72.03890991210938
RELIANCE.NS,2018-08-23,2018-08-31,564.5039672851562,552.1417846679688,LONG,-12.3621826171875
RELIANCE.NS,2018-11-02,2018-12-10,477.99066162109375,484.8165588378906,LONG,6.825897216796875
RELIANCE.NS,2018-12-20,2018-12-21,501.8035888671875,489.2411804199219,LONG,-12.562408447265625
RELIANCE.NS,2019-01-01,2019-01-02,498.4905700683594,491.99822998046875,LONG,-6.492340087890625
RELIANCE.NS,2019-01-15,2019-02-12,502.337158203125,558.7008056640625,LONG,56.3636474609375
RELIANCE.NS,2019-03-08,2019-04-04,563.4589233398438,601.6795043945312,LONG,38.2205810546875
RELIANCE.NS,2019-04-26,2019-05-07,619.3556518554688,597.4328002929688,LONG,-21.9228515625
RELIANCE.NS,2019-05-22,2019-06-17,596.05419921875,570.2181396484375,LONG,-25.8360595703125
